id,name,skills,location,preferred_field
1,Stephanie Black,"Java, C++",Lake Mary,AI/ML
2,Christine Nguyen,"HTML, Machine Learning",West Katrina,Web Development
3,Arthur Smith,"R, C++, CSS, Java, Python",East Stephaniestad,Cybersecurity
4,Richard Barnes,"HTML, CSS, Java, Machine Learning",Hoffmanview,Data Science
5,Rebecca Hayes,"Machine Learning, SQL, C++",New Scott,Data Science
6,Susan Manning,"Python, Machine Learning, C++, R",Schultzhaven,Cybersecurity
7,Robert Johnson,"SQL, HTML, CSS",Andersonfort,Mobile Development
8,Roberto Morris,"Python, CSS, TensorFlow, R, SQL",Timothyhaven,Mobile Development
9,Catherine Goodman,"C++, HTML, R, CSS",Margaretton,Data Science
10,Kenneth Hurst,"Machine Learning, Python, Java",Jamesside,AI/ML
11,Chad Newton,"CSS, Python, R",North Toddbury,Cybersecurity
12,Ian Robinson,"R, React",Wintersshire,AI/ML
13,Paul Wright,"HTML, CSS, C++, SQL",South Marco,Cybersecurity
14,Diane Nash,"TensorFlow, React, C++, HTML, Machine Learning",Lake Sarahview,Data Science
15,Ricky Martinez,"Machine Learning, SQL, TensorFlow, R, HTML",West Mary,Cybersecurity
16,James Blair,"CSS, C++, React",Briannaside,Data Science
17,Jonathan Reed,"Python, CSS",Mclaughlinborough,Web Development
18,Lisa Andrade,"Java, R, Machine Learning, React, C++",Port Vickiton,AI/ML
19,Christopher Price,"TensorFlow, R",Lake Timothybury,Mobile Development
20,Billy English,"Java, SQL",Port Margarettown,Web Development
21,Kaylee Meyers,"Python, React, Machine Learning, C++, CSS",Wardville,Cybersecurity
22,Craig Lam,"Python, React",Lake Geraldborough,Mobile Development
23,Joseph Evans,"React, Java, Python, SQL",East Joshua,Data Science
24,Brett Newman,"CSS, Java",New Cynthiamouth,Cybersecurity
25,Mark Jackson,"React, Java, Machine Learning, SQL, HTML",Lake Katherine,AI/ML
26,Donna Coleman,"CSS, Machine Learning, HTML, R, Java",New Thomaschester,Web Development
27,Jennifer Vega,"R, Java, Machine Learning, CSS, HTML",South Michael,AI/ML
28,Randall Lewis,"SQL, C++, HTML, CSS, Machine Learning",Lake Timothy,Cybersecurity
29,Robert Strickland,"R, C++, HTML",Harrishaven,Data Science
30,Gary Jones,"R, C++, React, Machine Learning",East Faithmouth,Mobile Development
31,Alyssa Patterson,"Python, CSS",Gonzalesside,Web Development
32,Caleb Roberts,"Java, TensorFlow",Williamstad,AI/ML
33,Steven Jordan,"Python, R, HTML, Java",West Brandonbury,Data Science
34,Megan Reed,"C++, HTML, TensorFlow, Python",Ellisshire,AI/ML
35,Erin Hall,"CSS, Machine Learning",Nancyburgh,Web Development
36,Joshua Roberts,"TensorFlow, CSS",Stephaniebury,Mobile Development
37,Bryan Dunn,"Java, R, Python, React",Port Henrystad,Web Development
38,Ryan Collins,"R, Python, HTML, CSS, TensorFlow",Fitzpatrickberg,Web Development
39,Katherine Wong,"React, CSS",Alvaradoside,Cybersecurity
40,Katrina Willis,"CSS, Machine Learning, HTML, React",Maryberg,Cybersecurity
41,Tyrone Dillon,"Python, React, C++",Teresaville,Mobile Development
42,Isabella Knight,"Java, Machine Learning, Python, HTML",New Michael,AI/ML
43,Gary Robinson,"R, Machine Learning, HTML, CSS",Jenniferfurt,Data Science
44,Miguel Simpson,"C++, SQL, Java, Python",Heathertown,AI/ML
45,Jason Simon,"CSS, Python, React, Machine Learning, C++",Wagnermouth,AI/ML
46,Ms. Shannon Patterson,"TensorFlow, C++, Java, SQL",Amyhaven,Mobile Development
47,Amber Thomas,"React, SQL",Walshchester,AI/ML
48,Ashley Smith,"Java, CSS, React",East Paul,Data Science
49,Katherine Campos,"R, Machine Learning, CSS",Tatefort,Cybersecurity
50,William Silva,"SQL, TensorFlow, R, CSS, Python",North Erika,Mobile Development
51,Patrick Lewis,"SQL, Java",Lake Connor,Web Development
52,Jesus Castro,"Python, TensorFlow, HTML",West Jennifer,Cybersecurity
53,Melanie Banks,"R, SQL, HTML, Machine Learning",East Dawnborough,Data Science
54,Walter Knight,"HTML, C++, R",Christopherport,AI/ML
55,Cristian Grant,"Machine Learning, Python, SQL, TensorFlow, React",Annettemouth,Cybersecurity
56,David Baker,"Machine Learning, TensorFlow",Victorland,AI/ML
57,Margaret Quinn,"HTML, CSS, TensorFlow",Morrisonburgh,Data Science
58,Darlene Holland,"R, CSS, Python, C++, Machine Learning",Audreyshire,Web Development
59,Mark Lewis,"Machine Learning, Java, HTML, Python, SQL",South Heather,Data Science
60,Cory Trevino,"TensorFlow, HTML",Lancemouth,AI/ML
61,Diane Pierce,"Python, TensorFlow, Machine Learning",Turnerfort,Cybersecurity
62,Pamela Foster,"Java, SQL, TensorFlow, Python, CSS",Nathanmouth,Mobile Development
63,Joseph Johnson,"C++, R, React, Python",Leeburgh,Web Development
64,Tammy Boyd,"TensorFlow, C++, R",Port Patrickfort,Web Development
65,Jeremy Potter,"R, Python",East Kylefurt,Data Science
66,Thomas Marquez,"SQL, TensorFlow",Port Beth,Mobile Development
67,Jason Jordan DDS,"React, CSS",Williamsside,Mobile Development
68,Christopher Pena,"TensorFlow, React",Franciscoport,Mobile Development
69,Natalie Fox,"TensorFlow, CSS",Erinhaven,AI/ML
70,Robert Odonnell,"HTML, C++, R, React",Sarabury,Data Science
71,Christopher Martinez,"Python, CSS, SQL, C++, Machine Learning",Farrellburgh,Data Science
72,Jennifer Johnson,"TensorFlow, Machine Learning, R, C++, CSS",Jameston,AI/ML
73,Cody Johnson,"Python, SQL",Bakerside,Web Development
74,Michael Smith,"SQL, Python, Machine Learning, React, Java",Amandaside,Web Development
75,Lisa Guerra,"R, Python, C++, HTML",Port Joeltown,Web Development
76,Kathleen Fleming,"R, Machine Learning, CSS",West Victoria,Web Development
77,Bruce Smith,"SQL, CSS, Java, R, Python",New Lynn,Web Development
78,Joshua Cooper,"C++, React, Java, Machine Learning, Python",Timothyside,AI/ML
79,Erin Lee,"C++, R, HTML, CSS",New Stephaniehaven,Mobile Development
80,Madison Meyer,"C++, Machine Learning",Rogerston,Data Science
81,Paul Castillo,"Python, Java, TensorFlow",Kellerberg,Data Science
82,Adam Powell,"HTML, Python, Java",South Sheilafurt,Cybersecurity
83,Bradley Diaz,"Java, CSS, Machine Learning, HTML, TensorFlow",Lewismouth,Data Science
84,Anthony Davis,"SQL, Python, Machine Learning",South Robert,Mobile Development
85,Connie Porter,"SQL, C++, Python, Java",Meyerfurt,Data Science
86,Heather Torres,"CSS, HTML, Java",Anthonyshire,Web Development
87,Kayla Lutz,"R, Machine Learning, HTML, React, SQL",Hernandezfurt,AI/ML
88,Lori Williamson,"Java, React, Machine Learning, Python",Martinezbury,Web Development
89,David Gentry,"Java, React, TensorFlow, Python",Port Ronald,Mobile Development
90,Robin White,"C++, Machine Learning",South Elizabethborough,Cybersecurity
91,Amanda Jones,"Java, SQL",Greenchester,Mobile Development
92,Wendy Shaw,"Python, Java, CSS, SQL",Hudsonside,Mobile Development
93,Jessica Brown,"Python, CSS, R",Dunnstad,AI/ML
94,Matthew Mccormick,"C++, HTML, Java, R",Toddfort,Data Science
95,James Harvey,"TensorFlow, Machine Learning, Python",East Davidberg,Web Development
96,Monica Harris,"C++, Python",Lake Davidmouth,Cybersecurity
97,Michelle Saunders,"CSS, React",Smithberg,AI/ML
98,Leroy Hudson,"SQL, Java, HTML, CSS",East Jennifer,Web Development
99,Mrs. Sherri Mccullough,"R, CSS, TensorFlow",Jessicabury,Cybersecurity
100,Marc Jones,"HTML, SQL",New Michaelbury,Web Development
101,Allison Lambert,"R, React",Lake Katherine,AI/ML
102,Robyn Krueger,"Python, SQL, HTML, Java",Port Michael,Mobile Development
103,Jason Walker,"SQL, R, Machine Learning, Python, Java",Berryfort,Web Development
104,James Marshall,"C++, Machine Learning, CSS",Martinshire,Web Development
105,Matthew Fowler,"SQL, HTML, CSS, R, Python",Johnbury,AI/ML
106,Ricky Rogers,"TensorFlow, R, Python",Loganshire,Mobile Development
107,Travis Pena,"CSS, TensorFlow",North Theresafurt,Web Development
108,Mary Bird,"Java, R, CSS, Machine Learning, TensorFlow",Lake Michele,Mobile Development
109,Michael Munoz,"R, SQL, TensorFlow, HTML",Kaylamouth,Cybersecurity
110,Cynthia Harris,"React, TensorFlow, R",South Monicaburgh,Data Science
111,Erica Page,"SQL, R, Python",North Dawnland,AI/ML
112,Nicole Lyons,"C++, R",Frankshire,Mobile Development
113,Angela Smith,"HTML, Python",New Mary,Web Development
114,Christina Mitchell,"R, CSS, C++",Gregoryfurt,Data Science
115,Desiree Wells,"TensorFlow, CSS, Java",Gallegosmouth,AI/ML
116,Susan Nelson,"CSS, HTML, C++, Java",New Kelsey,Web Development
117,Christopher Burnett,"Python, CSS, React",New Victoria,Web Development
118,Nicholas Lang,"Machine Learning, Python, R",Nealstad,Cybersecurity
119,Susan Larsen,"HTML, R, React, Machine Learning, Python",Sellerschester,Web Development
120,Randall Butler,"C++, Python, R",Port Christopher,Cybersecurity
121,James Lambert,"HTML, C++, SQL",Walkerburgh,Data Science
122,Sarah Sandoval,"CSS, C++, R",Moranfurt,Mobile Development
123,Debra Sweeney,"CSS, C++",Bradleyton,Web Development
124,David Mcdonald,"SQL, Python",Jonathanhaven,Mobile Development
125,Larry Schmidt,"HTML, CSS, React",Alexiston,Data Science
126,William Smith,"TensorFlow, React",Timothyhaven,Data Science
127,Jennifer King,"R, C++, CSS, Machine Learning, Python",Millerburgh,Mobile Development
128,Dylan Dodson,"HTML, C++",East Ronnieshire,Web Development
129,Jennifer Little,"CSS, TensorFlow",Rogerfurt,Data Science
130,Richard Fitzpatrick MD,"TensorFlow, Python, Machine Learning",Andrewhaven,Cybersecurity
131,Mary Randolph,"Machine Learning, React, R",New John,Web Development
132,Matthew Gonzalez,"Java, SQL, TensorFlow, C++",South Jodi,Cybersecurity
133,David Price,"React, Python, R, Machine Learning",Danielsstad,AI/ML
134,Robert Atkinson,"R, TensorFlow, Python",Shellyside,Web Development
135,Catherine Henson,"HTML, SQL, R, Python",Port Patrick,Mobile Development
136,Ellen Wilkerson,"React, Machine Learning, TensorFlow, C++",South Lauren,Cybersecurity
137,Harold White,"SQL, R",West Tinaside,Web Development
138,Jonathan Anthony,"CSS, Machine Learning",Kennethfurt,Data Science
139,Patricia Serrano,"TensorFlow, C++, Python",Websterstad,Mobile Development
